allEarningsAmountInWei,endTimestamp,startTimestamp,entityId,entityType,entitySymbol
164357667796666670000000,2024-08-12T20:20:00Z,2024-07-29T00:50:00Z,321969,USER,fid:321969
3387514818036369500000,2024-08-12T19:40:00Z,2024-07-29T00:10:00Z,404871,USER,fid:404871
6638804898881503000000,2024-08-12T16:20:00Z,2024-07-29T01:20:00Z,169,USER,fid:169
8681747977524164000000,2024-08-12T19:20:00Z,2024-07-29T00:10:00Z,191503,USER,fid:191503
26463741314518990000000,2024-08-12T19:40:00Z,2024-07-29T00:50:00Z,344203,USER,fid:344203
44582807431675990000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,4482,USER,fid:4482
26366516860851816000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,7464,USER,fid:7464
1107272957772128600000,2024-08-12T08:10:00Z,2024-07-29T04:40:00Z,20,USER,fid:20
27031802572043266000000,2024-08-12T20:20:00Z,2024-07-29T00:30:00Z,8451,USER,fid:8451
68254469396432340000000,2024-08-12T17:40:00Z,2024-07-31T07:30:00Z,72,USER,fid:72
1793554655812751500000,2024-08-12T16:00:00Z,2024-07-29T12:40:00Z,293719,USER,fid:293719
16759333462167668000000,2024-08-12T20:20:00Z,2024-07-30T00:40:00Z,478906,USER,fid:478906
50559501795100730000000,2024-08-12T20:20:00Z,2024-07-29T01:00:00Z,3895,USER,fid:3895
4725191951943008000000,2024-08-12T18:10:00Z,2024-07-29T00:10:00Z,193158,USER,fid:193158
7285107355553626000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,18910,USER,fid:18910
330235237850221000000000,2024-08-12T20:20:00Z,2024-07-29T00:03:00Z,446697,USER,fid:446697
146787990808504020000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,3642,USER,fid:3642
104468438161548950000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,308536,USER,fid:308536
8154207510123801000000,2024-08-12T20:00:00Z,2024-07-29T04:10:00Z,762,USER,fid:762
155088249099301950000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,1325,USER,fid:1325
8624912716970934000000,2024-08-12T20:00:00Z,2024-07-29T00:10:00Z,210628,USER,fid:210628
193563087235748860000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,2745,USER,fid:2745
99878653698140320000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,412843,USER,fid:412843
50600254136180880000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,7097,USER,fid:7097
75017201718203410000000,2024-08-12T20:00:00Z,2024-07-29T00:30:00Z,4085,USER,fid:4085
63476616245164960000000,2024-08-12T19:50:00Z,2024-07-29T06:10:00Z,1048,USER,fid:1048
92639082734455200000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,397392,USER,fid:397392
4957882417892783000000,2024-08-12T13:30:00Z,2024-07-29T04:30:00Z,196149,USER,fid:196149
20150991175988973000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,10144,USER,fid:10144
5002141886532767000000,2024-08-12T20:20:00Z,2024-07-29T00:40:00Z,2163,USER,fid:2163
4124457358794858400000,2024-08-12T20:10:00Z,2024-07-29T00:10:00Z,262938,USER,fid:262938
46134088219386780000000,2024-08-12T19:10:00Z,2024-07-29T00:10:00Z,285462,USER,fid:285462
305575340269696200000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,2,USER,fid:2
820346968914788600000,2024-08-12T20:00:00Z,2024-07-29T00:40:00Z,281289,USER,fid:281289
189450225906274500000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,426,USER,fid:426
81680601549733210000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,1918,USER,fid:1918
98569903062282700000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,323251,USER,fid:323251
226964308733646000000,2024-08-12T12:01:00Z,2024-07-29T00:50:00Z,2391,USER,fid:2391
17877748267326435000000,2024-08-12T19:40:00Z,2024-07-29T00:10:00Z,2480,USER,fid:2480
2475671113203009000000,2024-08-12T20:20:00Z,2024-07-29T03:30:00Z,459385,USER,fid:459385
7404772566871274000000,2024-08-12T17:50:00Z,2024-07-29T00:30:00Z,439396,USER,fid:439396
125809849229041520000000,2024-08-12T20:00:00Z,2024-07-29T00:30:00Z,8,USER,fid:8
93717360180485800000000,2024-08-12T18:20:00Z,2024-07-29T00:10:00Z,6806,USER,fid:6806
793043266946881000000,2024-08-12T02:10:00Z,2024-07-29T01:20:00Z,1471,USER,fid:1471
21695960655279660000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,296687,USER,fid:296687
271787327429080700000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,270504,USER,fid:270504
45028235056007320000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,4905,USER,fid:4905
6431384419648740000000,2024-08-12T18:30:00Z,2024-07-29T00:30:00Z,4715,USER,fid:4715
11766294247458338000000,2024-08-12T19:50:00Z,2024-07-29T00:20:00Z,4461,USER,fid:4461
